ACTUAL_rna_age_covnorm,ACTUAL_rna_age_ranknorm,ACTUAL_rna_age_raw,ACTUAL_rna_age_resid_both,ACTUAL_rna_age_resid_cc,ACTUAL_rna_age_resid_pluri,ACTUAL_rna_age_top100,ACTUAL_rna_age_top2000,ACTUAL_rna_age_top500,ACTUAL_rna_dage_covnorm,ACTUAL_rna_dage_ranknorm,ACTUAL_rna_dage_raw,ACTUAL_rna_dage_resid_both,ACTUAL_rna_dage_resid_cc,ACTUAL_rna_dage_resid_pluri,ACTUAL_rna_dage_top100,ACTUAL_rna_dage_top2000,ACTUAL_rna_dage_top500,ERROR_covnorm_mt,ERROR_covnorm_sb,ERROR_ranknorm_mt,ERROR_ranknorm_sb,ERROR_raw_mt,ERROR_raw_sb,ERROR_resid_both_mt,ERROR_resid_both_sb,ERROR_resid_cc_mt,ERROR_resid_cc_sb,ERROR_resid_pluri_mt,ERROR_resid_pluri_sb,ERROR_top100_mt,ERROR_top100_sb,ERROR_top2000_mt,ERROR_top2000_sb,ERROR_top500_mt,ERROR_top500_sb,TRUTH_meth_age_mt,TRUTH_meth_age_sb,TRUTH_meth_dage_mt,TRUTH_meth_dage_sb,arm_set,condition,day,donor,is_control,n_replicates
103.81,142.04,100.41,0.941,7.937,1.393,84.751,91.092,107.193,-2.275,-5.587,-2.029,0.39,-2.45,0.527,0.29,0.722,2.151,-9.435,-0.482,-12.747,-3.794,-9.189,-0.236,-6.77,2.183,-9.61,-0.657,-6.633,2.32,-6.87,2.083,-6.438,2.514,-5.009,3.944,49.119,45.841,7.16,-1.793,transient,failed_to_transiently_reprogram,10,O1,False,1
81.832,142.129,80.814,-19.015,-10.754,-18.841,77.91,71.927,92.662,-24.666,-4.846,-21.994,-20.048,-23.14,-19.691,-3.35,-18.373,-12.228,-19.553,-25.162,0.268,-5.342,-16.88,-22.49,-14.934,-20.544,-18.026,-23.636,-14.578,-20.187,1.764,-3.846,-13.259,-18.869,-7.115,-12.724,37.136,48.187,-5.113,0.496,transient,failed_to_transiently_reprogram,13,O1,False,2
82.943,140.787,81.804,-17.893,-8.667,-18.053,81.661,73.981,95.07,-18.98,-8.183,-16.924,-14.926,-17.154,-14.849,1.828,-12.931,-7.213,-22.991,-20.189,-12.194,-9.392,-20.935,-18.133,-18.937,-16.135,-21.165,-18.363,-18.86,-16.058,-2.182,0.619,-16.942,-14.14,-11.224,-8.422,47.073,50.207,4.011,1.209,transient,failed_to_transiently_reprogram,15,O1,False,2
80.601,142.191,79.716,-20.177,-11.303,-20.17,77.314,72.16,94.082,-24.908,-6.783,-22.209,-20.235,-21.905,-20.321,-2.777,-17.489,-10.521,-19.777,-23.175,-1.652,-5.05,-17.078,-20.476,-15.104,-18.502,-16.775,-20.173,-15.19,-18.588,2.354,-1.044,-12.358,-15.756,-5.391,-8.789,38.723,49.469,-5.131,-1.733,transient,failed_to_transiently_reprogram,17,O1,False,2
74.27,150.366,74.071,3.841,-18.438,4.405,66.679,59.287,77.779,-31.815,2.739,-28.368,3.291,-28.825,3.539,-17.782,-31.084,-27.263,-26.053,-26.783,8.501,7.771,-22.606,-23.336,9.052,8.323,-23.063,-23.793,9.301,8.571,-12.021,-12.75,-25.322,-26.052,-21.502,-22.231,36.197,42.602,-5.762,-5.032,transient,failing_to_transiently_reprogram_intermediate,10,O1,False,1
76.08,150.609,75.685,7.362,-15.449,7.512,67.22,63.253,84.271,-30.419,3.635,-27.123,6.33,-27.835,6.662,-14.04,-27.047,-20.619,-22.899,-29.087,11.154,4.967,-19.603,-25.791,13.849,7.661,-20.316,-26.503,14.182,7.994,-6.52,-12.708,-19.528,-25.715,-13.099,-19.287,34.73,46.36,-7.519,-1.332,transient,failing_to_transiently_reprogram_intermediate,13,O1,False,1
80.038,149.938,79.214,11.787,-11.758,11.891,68.961,66.726,88.766,-21.885,0.967,-19.514,14.754,-20.245,15.095,-10.872,-20.187,-13.517,-12.65,-19.617,10.202,3.236,-10.279,-17.246,23.989,17.023,-11.01,-17.977,24.33,17.364,-1.637,-8.603,-10.952,-17.918,-4.282,-11.249,33.827,46.73,-9.235,-2.268,transient,failing_to_transiently_reprogram_intermediate,15,O1,False,1
84.922,151.022,83.569,17.089,-7.066,17.093,71.629,71.229,93.807,-20.587,2.048,-18.356,17.03,-17.669,16.943,-8.461,-18.42,-10.797,-15.592,-21.016,7.043,1.619,-13.361,-18.785,22.025,16.601,-12.674,-18.098,21.938,16.513,-3.466,-8.89,-13.425,-18.849,-5.802,-11.226,38.859,51.63,-4.995,0.429,transient,failing_to_transiently_reprogram_intermediate,17,O1,False,1
105.916,141.55,102.288,1.004,9.922,1.417,85.669,92.768,105.42,-0.169,-6.076,-0.151,0.454,-0.465,0.551,1.208,2.398,0.378,-0.094,1.589,-6.001,-4.318,-0.076,1.607,0.529,2.212,-0.389,1.294,0.627,2.31,1.283,2.966,2.473,4.156,0.453,2.136,41.883,45.875,-0.075,-1.758,transient,negative_control,10,O1,True,1
96.033,140.897,93.476,-7.817,1.479,-7.516,82.054,84.426,100.193,-10.465,-6.077,-9.332,-8.849,-10.907,-8.366,0.794,-5.874,-4.698,-14.346,-9.357,-9.958,-4.969,-13.212,-8.223,-12.729,-7.74,-14.788,-9.798,-12.247,-7.258,-3.086,1.903,-9.754,-4.765,-8.578,-3.589,46.13,46.583,3.881,-1.109,transient,negative_control,13,O1,True,2
