clone	n_treatments_observed	Acid	Cisplatin	CoCl2	Dabrafenib	Doxorubicin	Naive1	Naive2	Naive3	Trametinib
L100045	0	0	0	0	0	0	0	0	1	0
L100147	0	0	0	0	0	0	0	1	0	0
L100162	2	6	0	0	0	3	21	0	8	0
L100262	0	0	0	0	0	0	1	0	0	0
L100341	0	0	0	0	0	0	0	1	0	0
L100367	0	0	0	0	0	0	0	0	1	0
L100434	0	0	0	0	0	0	1	0	0	0
L100455	0	0	0	0	0	0	0	1	0	0
L100615	3	9	3	0	0	36	17	21	77	0
L100688	5	84	0	1	252	4	2	0	59	226
L100742	1	0	0	0	0	0	0	0	8	1
L100814	5	538	85	0	139	193	35	181	114	39
L101035	0	0	0	0	0	0	0	1	0	0
L101180	0	0	0	0	0	0	1	0	0	0
L101216	4	15	2	0	0	44	0	42	0	1
L101260	5	21	1	0	85	52	0	49	64	82
L101304	0	0	0	0	0	0	1	0	0	0
L101306	0	0	0	0	0	0	1	0	0	0
L10132	0	0	0	0	0	0	0	1	0	0
L101328	0	0	0	0	0	0	0	1	0	0
L101370	0	0	0	0	0	0	0	0	1	0
L101437	0	0	0	0	0	0	0	1	0	0
L101478	5	32	16	2	49	0	1	0	14	30
L101484	2	0	0	0	23	0	0	1	0	6
L101690	0	0	0	0	0	0	0	1	0	0
L101756	0	0	0	0	0	0	1	0	0	0
L101805	0	0	0	0	0	0	0	0	1	0
L102089	3	115	0	36	0	9	29	0	27	0
L102094	0	0	0	0	0	0	0	0	1	0
L102163	3	0	0	0	686	3	0	0	1	252
L102220	0	0	0	0	0	0	0	1	0	0
L102227	0	0	0	0	0	0	0	1	0	0
L102311	0	0	0	0	0	0	0	1	0	0
L10232	0	0	0	0	0	0	0	0	1	0
L102359	2	2	4	0	0	0	0	0	1	0
L102385	0	0	0	0	0	0	0	0	1	0
L102405	0	0	0	0	0	0	1	0	0	0
L102437	0	0	0	0	0	0	0	0	1	0
L102444	6	374	28	166	4	40	43	31	15	2
