clone_id,treatment,n_naive_cells,naive_pooled_fraction,n_post_cells,post_fraction,post_rank,post_rank_fraction,post_tie_size,detected_post,outcome_observation_status,treatment_sample_available,treatment_total_assigned_cells,naive_source_samples,outer_group,outer_fold
L100162,Acid,1,0.00015411,0,0.0,666,0.47537473,736,False,observed_zero,True,7246,Naive1,L100162,2
L100162,Cisplatin,1,0.00015411,0,0.0,273,0.19486081,1129,False,observed_zero,True,6815,Naive1,L100162,2
L100162,CoCl2,1,0.00015411,0,0.0,320,0.22840828,1082,False,observed_zero,True,5134,Naive1,L100162,2
L100162,Dabrafenib,1,0.00015411,0,0.0,322,0.22983583,1080,False,observed_zero,True,6164,Naive1,L100162,2
L100162,Doxorubicin,1,0.00015411,0,0.0,406,0.289793,996,False,observed_zero,True,2832,Naive1,L100162,2
L100162,Trametinib,1,0.00015411,0,0.0,275,0.19628837,1127,False,observed_zero,True,8091,Naive1,L100162,2
L100615,Acid,5,0.00077053,0,0.0,666,0.47537473,736,False,observed_zero,True,7246,Naive1|Naive2|Naive3,L100615,0
L100615,Cisplatin,5,0.00077053,0,0.0,273,0.19486081,1129,False,observed_zero,True,6815,Naive1|Naive2|Naive3,L100615,0
L100615,CoCl2,5,0.00077053,0,0.0,320,0.22840828,1082,False,observed_zero,True,5134,Naive1|Naive2|Naive3,L100615,0
L100615,Dabrafenib,5,0.00077053,0,0.0,322,0.22983583,1080,False,observed_zero,True,6164,Naive1|Naive2|Naive3,L100615,0
L100615,Doxorubicin,5,0.00077053,1,0.00035311,218,0.15560314,188,True,observed_nonzero,True,2832,Naive1|Naive2|Naive3,L100615,0
L100615,Trametinib,5,0.00077053,0,0.0,275,0.19628837,1127,False,observed_zero,True,8091,Naive1|Naive2|Naive3,L100615,0
L100688,Acid,2,0.00030821,2,0.00027601,380,0.27123483,107,True,observed_nonzero,True,7246,Naive3,L100688,1
L100688,Cisplatin,2,0.00030821,0,0.0,273,0.19486081,1129,False,observed_zero,True,6815,Naive3,L100688,1
L100688,CoCl2,2,0.00030821,0,0.0,320,0.22840828,1082,False,observed_zero,True,5134,Naive3,L100688,1
L100688,Dabrafenib,2,0.00030821,2,0.00032446,135,0.09635974,47,True,observed_nonzero,True,6164,Naive3,L100688,1
L100688,Doxorubicin,2,0.00030821,0,0.0,406,0.289793,996,False,observed_zero,True,2832,Naive3,L100688,1
L100688,Trametinib,2,0.00030821,5,0.00061797,85,0.06067095,6,True,observed_nonzero,True,8091,Naive3,L100688,1
L100742,Acid,1,0.00015411,0,0.0,666,0.47537473,736,False,observed_zero,True,7246,Naive3,L100742,0
L100742,Cisplatin,1,0.00015411,0,0.0,273,0.19486081,1129,False,observed_zero,True,6815,Naive3,L100742,0
L100742,CoCl2,1,0.00015411,0,0.0,320,0.22840828,1082,False,observed_zero,True,5134,Naive3,L100742,0
