clone_id,n_naive_cells,n_naive1_cells,n_naive2_cells,n_naive3_cells,naive1_total_assigned_cells,naive2_total_assigned_cells,naive3_total_assigned_cells,naive_pooled_fraction,naive_source_samples,outer_group,outer_fold
L100162,1,1,0,0,1433,1863,3193,0.00015411,Naive1,L100162,2
L100615,5,1,1,3,1433,1863,3193,0.00077053,Naive1|Naive2|Naive3,L100615,0
L100688,2,0,0,2,1433,1863,3193,0.00030821,Naive3,L100688,1
L100742,1,0,0,1,1433,1863,3193,0.00015411,Naive3,L100742,0
L100814,20,2,11,7,1433,1863,3193,0.00308214,Naive1|Naive2|Naive3,L100814,0
L101216,2,0,2,0,1433,1863,3193,0.00030821,Naive2,L101216,1
L101260,4,0,1,3,1433,1863,3193,0.00061643,Naive2|Naive3,L101260,4
L102089,1,0,0,1,1433,1863,3193,0.00015411,Naive3,L102089,0
L102444,6,0,4,2,1433,1863,3193,0.00092464,Naive2|Naive3,L102444,2
L102484,1,0,0,1,1433,1863,3193,0.00015411,Naive3,L102484,2
L10299,15,3,8,4,1433,1863,3193,0.0023116,Naive1|Naive2|Naive3,L10299,3
L103055,5,2,3,0,1433,1863,3193,0.00077053,Naive1|Naive2,L103055,1
L103561,3,1,0,2,1433,1863,3193,0.00046232,Naive1|Naive3,L103561,1
L103874,1,0,1,0,1433,1863,3193,0.00015411,Naive2,L103874,1
L104099,17,5,5,7,1433,1863,3193,0.00261982,Naive1|Naive2|Naive3,L104099,4
L10419,6,1,2,3,1433,1863,3193,0.00092464,Naive1|Naive2|Naive3,L10419,2
L10467,1,0,1,0,1433,1863,3193,0.00015411,Naive2,L10467,2
L104690,6,0,4,2,1433,1863,3193,0.00092464,Naive2|Naive3,L104690,4
L104947,6,2,2,2,1433,1863,3193,0.00092464,Naive1|Naive2|Naive3,L104947,4
L105502,1,0,1,0,1433,1863,3193,0.00015411,Naive2,L105502,1
L10551,2,0,0,2,1433,1863,3193,0.00030821,Naive3,L10551,2
L105784,3,1,0,2,1433,1863,3193,0.00046232,Naive1|Naive3,L105784,1
L105849,1,1,0,0,1433,1863,3193,0.00015411,Naive1,L105849,3
L106015,4,0,0,4,1433,1863,3193,0.00061643,Naive3,L106015,2
L106119,2,1,0,1,1433,1863,3193,0.00030821,Naive1|Naive3,L106119,1
L106449,1,0,0,1,1433,1863,3193,0.00015411,Naive3,L106449,2
L106663,1,0,0,1,1433,1863,3193,0.00015411,Naive3,L106663,3
L10693,1,1,0,0,1433,1863,3193,0.00015411,Naive1,L10693,4
L106934,1,0,1,0,1433,1863,3193,0.00015411,Naive2,L106934,3
L106945,5,3,0,2,1433,1863,3193,0.00077053,Naive1|Naive3,L106945,4
L107042,1,0,1,0,1433,1863,3193,0.00015411,Naive2,L107042,3
L10717,7,0,3,4,1433,1863,3193,0.00107875,Naive2|Naive3,L10717,0
L107403,3,1,1,1,1433,1863,3193,0.00046232,Naive1|Naive2|Naive3,L107403,0
L107467,17,1,7,9,1433,1863,3193,0.00261982,Naive1|Naive2|Naive3,L107467,4
L107482,1,0,1,0,1433,1863,3193,0.00015411,Naive2,L107482,1
L107483,2,1,1,0,1433,1863,3193,0.00030821,Naive1|Naive2,L107483,0
L107578,4,2,2,0,1433,1863,3193,0.00061643,Naive1|Naive2,L107578,2
L108005,1,0,1,0,1433,1863,3193,0.00015411,Naive2,L108005,2
L108076,1,0,1,0,1433,1863,3193,0.00015411,Naive2,L108076,1
L108181,1,0,0,1,1433,1863,3193,0.00015411,Naive3,L108181,1
L108266,1,0,0,1,1433,1863,3193,0.00015411,Naive3,L108266,0
L109007,2,0,2,0,1433,1863,3193,0.00030821,Naive2,L109007,1
L109019,9,0,4,5,1433,1863,3193,0.00138696,Naive2|Naive3,L109019,3
L109108,1,0,1,0,1433,1863,3193,0.00015411,Naive2,L109108,1
L109168,2,1,1,0,1433,1863,3193,0.00030821,Naive1|Naive2,L109168,2
L109193,5,1,2,2,1433,1863,3193,0.00077053,Naive1|Naive2|Naive3,L109193,2
L109560,2,0,1,1,1433,1863,3193,0.00030821,Naive2|Naive3,L109560,4
L109676,3,0,1,2,1433,1863,3193,0.00046232,Naive2|Naive3,L109676,2
L109790,7,1,1,5,1433,1863,3193,0.00107875,Naive1|Naive2|Naive3,L109790,0
L109808,4,0,2,2,1433,1863,3193,0.00061643,Naive2|Naive3,L109808,1
L109937,4,2,0,2,1433,1863,3193,0.00061643,Naive1|Naive3,L109937,1
L11049,3,0,1,2,1433,1863,3193,0.00046232,Naive2|Naive3,L11049,3
L110493,1,0,0,1,1433,1863,3193,0.00015411,Naive3,L110493,0
L110835,1,0,1,0,1433,1863,3193,0.00015411,Naive2,L110835,1
L110895,1,0,0,1,1433,1863,3193,0.00015411,Naive3,L110895,0
L111615,1,1,0,0,1433,1863,3193,0.00015411,Naive1,L111615,0
L111734,2,0,0,2,1433,1863,3193,0.00030821,Naive3,L111734,1
L112164,24,9,8,7,1433,1863,3193,0.00369857,Naive1|Naive2|Naive3,L112164,2
L112548,17,5,3,9,1433,1863,3193,0.00261982,Naive1|Naive2|Naive3,L112548,0
L112736,1,1,0,0,1433,1863,3193,0.00015411,Naive1,L112736,0
L112980,1,0,0,1,1433,1863,3193,0.00015411,Naive3,L112980,0
L113046,2,1,1,0,1433,1863,3193,0.00030821,Naive1|Naive2,L113046,4
L113265,2,1,1,0,1433,1863,3193,0.00030821,Naive1|Naive2,L113265,4
L113271,9,4,1,4,1433,1863,3193,0.00138696,Naive1|Naive2|Naive3,L113271,4
L11328,2,0,0,2,1433,1863,3193,0.00030821,Naive3,L11328,2
L113521,1,0,0,1,1433,1863,3193,0.00015411,Naive3,L113521,1
L113556,1,0,1,0,1433,1863,3193,0.00015411,Naive2,L113556,3
L113820,6,2,1,3,1433,1863,3193,0.00092464,Naive1|Naive2|Naive3,L113820,1
L114035,3,0,2,1,1433,1863,3193,0.00046232,Naive2|Naive3,L114035,3
L114118,13,3,6,4,1433,1863,3193,0.00200339,Naive1|Naive2|Naive3,L114118,2
L114326,3,0,2,1,1433,1863,3193,0.00046232,Naive2|Naive3,L114326,3
L114452,6,4,1,1,1433,1863,3193,0.00092464,Naive1|Naive2|Naive3,L114452,2
L11473,12,1,2,9,1433,1863,3193,0.00184928,Naive1|Naive2|Naive3,L11473,2
L11519,1,0,1,0,1433,1863,3193,0.00015411,Naive2,L11519,2
L115333,1,0,0,1,1433,1863,3193,0.00015411,Naive3,L115333,0
L115623,1,0,1,0,1433,1863,3193,0.00015411,Naive2,L115623,2
L115630,1,0,0,1,1433,1863,3193,0.00015411,Naive3,L115630,3
L115717,10,2,4,4,1433,1863,3193,0.00154107,Naive1|Naive2|Naive3,L115717,2
L11587,1,0,0,1,1433,1863,3193,0.00015411,Naive3,L11587,4
L115891,2,0,0,2,1433,1863,3193,0.00030821,Naive3,L115891,1
L115936,4,1,0,3,1433,1863,3193,0.00061643,Naive1|Naive3,L115936,1
L116006,1,0,1,0,1433,1863,3193,0.00015411,Naive2,L116006,3
L116152,9,2,2,5,1433,1863,3193,0.00138696,Naive1|Naive2|Naive3,L116152,1
L116189,12,2,5,5,1433,1863,3193,0.00184928,Naive1|Naive2|Naive3,L116189,3
L116200,4,0,2,2,1433,1863,3193,0.00061643,Naive2|Naive3,L116200,4
L116215,1,1,0,0,1433,1863,3193,0.00015411,Naive1,L116215,4
L116287,12,5,7,0,1433,1863,3193,0.00184928,Naive1|Naive2,L116287,0
L116375,2,0,0,2,1433,1863,3193,0.00030821,Naive3,L116375,3
L116548,1,0,1,0,1433,1863,3193,0.00015411,Naive2,L116548,0
L117154,7,2,1,4,1433,1863,3193,0.00107875,Naive1|Naive2|Naive3,L117154,4
L117526,7,0,4,3,1433,1863,3193,0.00107875,Naive2|Naive3,L117526,3
L117620,1,0,1,0,1433,1863,3193,0.00015411,Naive2,L117620,0
L117646,2,0,0,2,1433,1863,3193,0.00030821,Naive3,L117646,0
L117889,2,0,0,2,1433,1863,3193,0.00030821,Naive3,L117889,3
L117984,2,0,0,2,1433,1863,3193,0.00030821,Naive3,L117984,1
